,Cancer,Normal,Normal,Cancer,Normal,Normal,Cancer,Cancer,Normal,Cancer,Normal,Normal,Cancer,Normal,Normal,Normal,Normal,Normal,Normal,Cancer,Normal,Normal,Cancer,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Normal,Normal,Cancer,Normal,Cancer,Cancer,Normal,Cancer,Normal,Normal,Normal,Cancer,Normal,Normal,Cancer,Cancer,Cancer,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Cancer,Normal,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Normal,Normal,Normal,Normal,Cancer,Normal,Cancer,Cancer,Normal,Normal,Normal,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Cancer,Normal,Cancer,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Normal,Normal,Cancer,Cancer,Normal,Normal,Normal,Normal,Normal,Cancer,Cancer,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Normal,Cancer,Cancer,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Normal,Normal,Cancer,Normal,Normal,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Normal,Cancer,Cancer,Cancer,Normal,Normal,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Normal,Cancer,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Normal,Normal,Normal,Normal,Normal,Cancer,Cancer,Normal,Cancer,Normal,Cancer,Normal,Normal,Normal,Normal,Cancer,Normal,Normal,Cancer,Cancer,Normal,Cancer,Normal,Normal,Cancer,Cancer,Normal,Cancer,Normal,Cancer,Cancer,Cancer,Cancer,Normal,Normal,Cancer,Normal,Normal,Cancer,Cancer,Cancer,Normal,Normal,Cancer,Normal,Cancer,Normal,Cancer,Normal
587826,59.48839976,0,1186.94362,0,0,76.68711656,0,0,0,0,0,478.4688995,0,0,0,932.1401939,0,0,0,0,0,0,0,0,42.49893753,0,81.66598612,0,0,0,0,0,96.06147935,170.5514497,0,0,0,176.2114537,0,0,0,68.16632584,0,0,0,0,0,0,58.61664713,0,0,0,0,0,0,0,0,0,125.3132832,257.7319588,0,0,0,0,0,0,0,0,0,0,299.4011976,437.0629371,0,87.48906387,327.8688525,0,0,0,0,0,54.2888165,146.5201465,81.4995925,0,0,0,0,0,0,223.0483271,0,0,0,0,0,0,95.87727709,0,0,0,0,0,0,83.19467554,0,0,0,0,0,196.0784314,0,0,0,0,0,167.3640167,67.34006734,176.6784452,0,0,0,0,0,0,0,0,0,0,0,0,80.38585209,0,0,185.1851852,0,0,0,0,0,0,0,51.89413596,0,0,0,0,0,0,0,187.2659176,0,83.7520938,0,58.37711617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.57297576,0,103.626943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.24170616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.63791875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023719583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548686,59.48839976,0,0,0,0,0,113.2502831,44.80286738,0,0,0,0,0,0,0,0,0,0,103.626943,114.2857143,0,68.21282401,0,0,0,71.8907261,0,0,0,25.92688618,0,83.89261745,0,56.85048323,0,0,81.43322476,0,0,0,0,0,0,0,0,172.7115717,0,0,190.5041032,0,0,176.5225066,216.4502165,0,0,66.8002672,0,0,0,0,87.2600349,0,0,0,401.6064257,0,0,0,0,0,0,0,0,0,0,0,106.9518717,0,0,99.30486594,54.2888165,73.26007326,0,0,0,0,256.7394095,0,65.78947368,148.6988848,82.50825083,95.87727709,0,0,79.36507937,107.2961373,95.87727709,198.8071571,0,102.9866117,0,0,101.9367992,0,80.45052293,0,0,103.950104,0,0,0,0,0,0,44.62293619,0,67.34006734,0,62.85355123,105.374078,0,0,0,152.4390244,75.81501137,0,0,0,46.12546125,0,0,0,0,0,0,94.87666034,0,0,138.5041551,0,301.2048193,103.7882719,56.33802817,0,0,0,0,0,0,0,0,0,98.61932939,0,90.66183137,33.81805884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195681,0,0,0,0,239.3298763,0,0,0,67.38544474,0,0,0,0,0,446.4285714,0,0,0,103.626943,0,99.20634921,0,0,0,0,0,0,0,0,25.92688618,0,0,0,0,0,63.0517024,0,0,0,0,0,0,0,0,0,0,0,0,14.65416178,512.8205128,0,0,0,0,0,0,0,0,0,85.91065292,0,0,0,123.685838,0,0,0,0,0,0,0,0,0,0,54.64480874,0,0,0,95.32888465,0,0,219.7802198,0,282.2201317,0,0,0,0,32.89473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.19467554,0,0,79.30214116,103.950104,0,0,0,0,0,0,0,0,0,58.89281508,0,0,137.5515818,0,0,0,151.6300227,0,0,0,0,0,0,70.87172218,0,0,0,0,0,153.1393568,0,0,0,0,0,0,0,0,0,0,0,93.6329588,0,0,0,0,0,0,12.99433409,3.549119818,24.56926999,4.471272077,2.412855695,45.01492774,2.722329225,8.611657313,1.394408422,0,134.891695,10.47390387,2.680510012,128.9685877,0,16.06732976,28.31504868,0,106.7695651,1.306694194,0,10.11285951,179.0657304,115.187584,10.75476974,0,10.95875399,4.16921452,3.886967,24.93374747,36.86830116,25.23340903,13.87767461,18.99164368,60.99372859,0,0.810083925,26.41966045,41.58526156,0,1.450442022,0,5.249527543,18.30191505,2.843453659,2.162120088,10.89886996,16.34194614,5.384130813,6.168574812,7.876496534,399.4371996,0,275.6428965,1.208006668,18.07337791,17.5574724,61.48729984,0,23.82405932
667010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023719583,0,0,0,0,0,0,0,0,1.611369825,8.041530035,1.68219897,0,0.765110941,0,0,0.936575132,0,0,0,0,0,0,1.070090958,0,1.389738173,0.431885222,0,0,0.720954544,0,0,0.781970879,3.008936542,0,3179.341939,0,0.561025555,0,0,0,0,2820.70603,0.216212009,0,0,0.538413081,0,0,0,0.82140921,0.810714402,0,0,0,2.598054923,1.34505323,0
825808,0,0,296.735905,0,0,613.4969325,0,0,134.7708895,0,160,0,244.4987775,0,178.5714286,2796.420582,0,0,0,0,0,0,0,0,127.4968126,0,0,0,0,0,0,83.89261745,288.184438,56.85048323,0,0,0,2202.643172,0,0,0,136.3326517,0,0,0,0,0,0,0,0,68.82312457,0,0,0,0,0,0,0,0,1030.927835,0,0,0,0,0,0,0,0,0,0,2894.211577,1398.601399,0,0,54.64480874,54.91488193,0,0,0,0,0,293.040293,0,0,359.0664273,0,0,0,0,0,82.50825083,0,0,0,0,0,0,0,1159.42029,0,0,109.0512541,0,83.19467554,0,0,396.5107058,207.9002079,0,1666.666667,49.72650423,208.9864159,0,0,0,334.7280335,0,0,188.5606537,0,0,0,0,0,0,0,0,0,0,0,241.1575563,0,0,370.3703704,0,0,181.4882033,0,0,194.9317739,0,51.89413596,112.6760563,0,136.0544218,0,0,150.8295626,0,655.4307116,0,0,98.61932939,0,0,0,0.955465742,2.366079879,16200.3624,12.51956182,1.608570463,0.661984232,1.361164612,0.717638109,0,0,0,2.417054738,0,7.289528872,1.48614909,2213.465953,4.118552535,7.608805925,0.936575132,1.306694194,4674.187224,0,0.781946421,466.8128404,1672.725187,4.280363831,0,11.11790539,0.431885222,0.712392785,0,0.720954544,1.261606782,1.999120387,4.691825276,5.014894236,0,0.528393209,109.8478607,0.561025555,0,498.6275152,2687.758102,8.319052294,1.421726829,13.40514455,0.573624735,1301.908376,0,419.4630872,63.01197227,0.94429598,4.107046048,5.675000811,0,1.643034356,2.26548031,944.8259736,0,0
158393,0,96.10764056,0,100.9591116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.425648,65.83278473,0,212.4946876,0,40.83299306,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0408163,68.16632584,0,0,0,0,0,58.65102639,131.887456,0,68.82312457,88.26125331,0,0,0,0,255.1020408,0,0,0,0,0,0,0,133.8688086,68.58710562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.577633,0,162.999185,94.07337723,0,0,0,0,32.89473684,74.34944238,0,0,0,0,158.7301587,107.2961373,0,0,0,463.4397528,1682.085786,109.0512541,0,0,0,163.9344262,0,0,0,0,149.1795127,0,153.3742331,117.9245283,0,0,0,0,125.7071025,105.374078,0,76.74597084,0,0,0,0,0,75.13148009,92.25092251,0,0,0,77.22007722,92.59259259,0,0,0,0,0,0,0,103.7882719,56.33802817,0,136.0544218,0,0,0,0,0,0,0,0,58.37711617,60.44122091,135.2722354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4461.629982,4084.574724,10385.75668,6562.342251,757.8779418,8512.269939,1472.253681,8198.924731,18665.76819,4687.5,3680,11483.25359,611.2469438,4670.050761,2767.857143,15659.95526,567.3027334,2568.218299,11502.59067,8457.142857,4166.666667,16302.86494,2896.642528,160.9010459,3527.411815,5319.913731,5594.120049,4647.435897,767.9180887,5470.572984,4580.896686,9899.328859,3938.520653,1421.262081,27624.30939,4224.464061,4153.094463,5638.76652,8381.50289,4824.561404,5306.122449,817.99591,2816.901408,2987.421384,1738.122827,2417.962003,4912.451362,5865.102639,3927.315358,11282.05128,4679.972471,9796.999117,360.7503608,3988.035892,1410.743353,1336.005344,765.3061224,177.7251185,877.1929825,2319.587629,3315.881326,7012.487992,9786.276715,4885.5906,5488.621151,548.696845,882.8722778,2727.925341,3861.625101,9253.731343,8582.834331,5069.93007,2618.542109,6124.234471,5409.836066,5052.169138,5775.40107,3539.823009,3241.182078,9930.486594,10043.43105,5201.465201,3015.484923,6396.989652,2513.464991,3341.902314,6033.376123,5849.056604,723.6842105,7732.342007,4207.920792,8245.445829,585.7740586,212.7659574,9126.984127,2575.107296,3739.213806,3180.914513,4420.289855,4891.864058,4709.840202,6434.023991,1732.925586,10732.11314,4827.031376,163.9344262,6026.962728,6860.706861,7861.866275,6862.745098,10740.92491,3970.741902,996.9325153,4834.90566,1026.327532,11297.07113,4579.124579,2061.248528,6222.501571,4214.963119,4951.856946,1304.681504,5730.12939,6021.341463,8642.911296,1626.01626,2324.294411,2103.681443,3459.409594,7142.857143,2009.646302,1913.536499,3088.803089,4259.259259,3349.964362,7874.762808,4174.228675,459.4180704,4847.645429,5653.021442,0,3269.330566,2704.225352,4622.871046,2721.088435,6294.117647,4082.743604,5731.523379,764.3312102,5243.445693,8119.65812,12144.0536,7100.591716,3619.381203,906.6183137,1285.086236,280.7158349,5805.768503,70.63665121,4666.219539,3452.7965,16437.73045,1171.282149,1835.000646,5312.696089,1831.233519,5226.835615,5005.720363,2822.577042,2976.931445,2063.518012,1063.504208,2591.084363,4726.759325,2887.461132,9.146859361,9123.612799,1075.502609,3958.99473,921.5006719,1570.196382,471.9101124,2152.710237,4241.480905,4124.071987,4337.047274,3948.858399,6050.971486,1184.648769,2930.710487,3673.699191,183.545129,12497.97479,2535.230617,2118.494457,743.9198856,61.64378594,1733.86386,184.6083852,1356.005524,4936.235552,4058.948042,5990.936729,3203.021444,3641.826082,1261.473549,4296.628859,10328.70943,380.3124641,5340.986477,3359.466544,1472.158783,742.5111716,3005.949546,1536.723316,13823.91042
4472202,0,0,0,50.47955578,0,0,0,0,0,0,0,0,0,0,0,37.28560776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5086705,0,0,0,0,0,0,0,0,0,58.61664713,0,0,0,144.3001443,0,0,0,255.1020408,0,0,0,0,0,0,0,133.8688086,0,0,0,0,0,0,0,0,0,0,54.91488193,0,0,0,0,0,0,0,0,0,0,0,0,98.68421053,0,165.0165017,0,0,0,158.7301587,214.5922747,0,0,0,102.9866117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62293619,0,67.34006734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.87666034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59151997,0,0,0,0,0,0,0,0,0,0.805684913,0,0.56073299,0,0,0,0.845422881,2.809725396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.749842514,0,0,0.216212009,0,0,0,0,0,0,0,0,0,1.643034356,0,0,0,0
358757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893503337,0.56073299,0,0,0,0,0,0,0,0.505642976,0,0,0,0,0,0,0,0,0,0,0,0,1.563941759,0,0,0,0,0,0,0,0,0,5.686907318,0,0,0,0.538413081,0,0,0,0,0,0,0,0,0,0,0
